id_motor,tempo_operacao_horas,temp_motor_c,vibracao_mm_s,consumo_energia_kwh,pressao_pa,nivel_oleo_pct,horas_desde_ultima_manutencao,umidade_pct,temp_ambiente_c,estado_motor
1,723,92.1011706544666,3.687416754456269,103.38777951425566,101207.0137910662,50.94257895189767,339,43.66429135325213,31.147271651075787,1
2,2434,96.59208660171124,4.8423478500265,168.30149564489977,101285.2545764728,72.75108802915939,68,33.5657396871069,33.52361490748354,0
3,2136,97.63171591885576,2.483649286166677,195.0496269802706,101000.32115184992,80.90369191220444,254,47.07520280216329,28.979952086865254,0
4,1597,85.10898775549298,2.7003270700565247,182.91504903457505,101322.43655733894,73.01977935465118,202,34.692864841000954,27.92861644943265,0
5,1582,85.60825344221708,4.248491844748237,127.71981402105398,101359.08789606395,56.53226280128512,244,31.82875001693568,33.352438363956125,0
6,2646,93.9961123229151,3.023049258970965,105.33250849333406,101283.5546827444,69.87370418453241,45,44.96003500286582,26.816925922462957,0
7,714,79.43352075232603,3.946292372462932,194.03514125381804,101248.2794085218,70.5827847564868,186,49.66120350139884,32.173560440432645,0
8,2243,95.12147087035206,2.8388378578143683,193.70627248797007,101404.96823685586,59.38579612248794,250,55.6244191921918,20.80769540667212,0
9,1003,84.8242493955227,1.8619805672508016,153.24153197128695,101340.68635858262,87.81535572354767,136,53.48506661862911,20.019349166844837,0
10,735,73.47570173005805,3.9808153711240433,164.23174116715353,101139.03701986,66.07003400712384,349,55.71721538269645,27.92438734406535,0
11,1816,72.16177441218831,1.5246206767388395,146.26000607108082,101479.53666904,79.4493645284308,211,52.80206312462671,21.104178407245705,0
12,2939,95.25979633118388,1.7943346541252323,141.97653670987586,101353.63359709768,75.78650904793838,145,51.09718190718418,34.648145201795955,0
13,2339,71.66703750720633,3.5072999311368345,111.94484359287004,101493.9694644562,93.87135396081943,12,30.30412707422099,20.08251761059698,0
14,2402,78.41834308400968,3.989079200768279,109.6752898361096,101485.63065813444,56.10074659314191,67,48.78306935427632,30.77224454747969,0
15,2293,80.02390121504638,4.57875154747126,123.27321466761876,101459.45486140504,55.71315041267301,190,33.614454124173534,23.65077043679331,0
16,2465,75.18983335574781,2.0903459896635668,183.66407464065443,101377.68577061265,65.01598345615079,160,31.76001396997623,34.51328007908084,0
17,1783,79.41680109405968,1.4428970344022174,114.583230073568,101304.71468424848,71.56074840629175,348,34.69236456316966,25.723124759418443,0
18,820,92.28077700175255,4.8241866380905165,122.66986519147108,101086.08533184146,64.92711243760698,314,54.698764843252505,20.409251393957977,1
